Time (s),LQR fa_dot,LQR fw_dot,LQR u3
1449.0,2.599932419898605,0.0010680061489195417,5e-05
1449.5,2.599971410007354,0.0,-5e-05
1450.0,2.6000238305819954,0.003,-5e-05
1450.5,2.6000088843521234,0.0,-5e-05
1451.0,2.6000023510410983,0.003,-5e-05
1451.5,2.5999557826211803,0.0,5e-05
1452.0,2.599942933569309,0.003,5e-05
1452.5,2.599905324941584,0.0,5e-05
1453.0,2.5998880195215652,0.0,5e-05
1453.5,2.5999748448474183,0.003,-5e-05
1454.0,2.599968901064669,0.0,4.318635559180661e-05
1454.5,2.599964924982015,0.003,-5e-05
1455.0,2.5999253002299247,0.0,5e-05
1455.5,2.599911652855559,0.0,5e-05
1456.0,2.6000080736977322,0.003,-5e-05
1456.5,2.5999895231088668,0.0,-5e-05
1457.0,2.599990633278351,0.003,-5e-05
1457.5,2.5999500816772723,0.0,5e-05
1458.0,2.599942313325566,0.0029289483322268873,5e-05
1458.5,2.5999045193291286,0.0,5e-05
1459.0,2.599888308932062,0.0,5e-05
1459.5,2.5999681333599876,0.003,-5e-05
1460.0,2.599953050748057,0.0,5e-05
1460.5,2.5999576789605983,0.003,-4.99203939627324e-05
1461.0,2.5999202732296176,0.0,5e-05
1461.5,2.599904055794372,0.0,5e-05
1462.0,2.599989581704943,0.003,-5e-05
1462.5,2.5999777814921754,0.0,-5e-05
1463.0,2.599986305116934,0.003,-5e-05
1463.5,2.5999356295736282,0.0,5e-05
1464.0,2.599909871215605,0.0,5e-05
1464.5,2.599999850934034,0.003,-5e-05
1465.0,2.5999889644721876,0.0,-5e-05
1465.5,2.599976994717241,0.003,-5e-05
1466.0,2.599935943266646,0.0,5e-05
1466.5,2.599919968952312,0.0,5e-05
1467.0,2.6000071227459585,0.003,-5e-05
1467.5,2.5999976789389962,0.0,-5e-05
1468.0,2.5999826814035476,0.003,-5e-05
1468.5,2.599943784636548,0.0,5e-05
1469.0,2.599933979336296,0.0018259118456008686,5e-05
1469.5,2.5999400245509277,0.0,5e-05
1470.0,2.599982415827858,0.003,-5e-05
1470.5,2.599941802125987,0.0,5e-05
1471.0,2.5999314659822184,0.0026383472598242464,5e-05
1471.5,2.599895510062059,0.0,5e-05
1472.0,2.599893891515584,0.0007232413080392344,5e-05
1472.5,2.599946002396789,0.0027479452118196347,5e-05
1473.0,2.5999084873914518,0.0,5e-05
1473.5,2.59990137034813,0.0,5e-05
1474.0,2.5999945519463252,0.003,-5e-05
1474.5,2.5999702007704575,0.0,-5e-05
1475.0,2.5999678691963974,0.003,-5e-05
